date	source	medium	sessions	bounces
2019-11-01	(direct)	(none)	5	3
2019-11-01	35.193.5.133	referral	2	1
2019-11-01	cran.r-project.org	referral	1	1
2019-11-01	facebook.com	referral	4	1
2019-11-01	github.com	referral	9	8
2019-11-01	google	organic	14	11
2019-11-01	oauth.yandex.ru	referral	7	5
2019-11-01	passport.yandex.ru	referral	3	2
2019-11-01	yandex	organic	1	1
2019-11-01	yandex.ru	referral	2	2
2019-11-02	(direct)	(none)	3	3
2019-11-02	bing	organic	1	1
2019-11-02	facebook.com	referral	1	1
2019-11-02	github.com	referral	2	1
2019-11-02	google	organic	2	2
2019-11-02	mediaguru.ru	referral	1	1
2019-11-02	mirrors.tuna.tsinghua.edu.cn	referral	1	1
2019-11-02	netpeak.net	referral	1	1
2019-11-02	oauth.yandex.ru	referral	1	1
2019-11-03	(direct)	(none)	10	9
2019-11-03	github.com	referral	1	1
2019-11-03	google	organic	5	5
2019-11-03	mediaguru.ru	referral	1	0
2019-11-03	oauth.yandex.ru	referral	1	0
2019-11-03	yandex	organic	1	1
2019-11-03	yandex.ru	referral	1	1
2019-11-04	(direct)	(none)	9	6
2019-11-04	35.189.64.97	referral	1	1
2019-11-04	away.vk.com	referral	1	1
2019-11-04	facebook.com	referral	3	2
2019-11-04	github.com	referral	8	4
2019-11-04	google	organic	6	2
2019-11-04	habr.com	referral	1	1
2019-11-04	mediaguru.ru	referral	2	2
2019-11-04	oauth.yandex.ru	referral	5	4
2019-11-05	(direct)	(none)	5	5
2019-11-05	130.193.51.26	referral	1	1
2019-11-05	away.vk.com	referral	1	0
2019-11-05	facebook.com	referral	8	4
2019-11-05	github.com	referral	14	12
2019-11-05	google	organic	16	12
2019-11-05	habr.com	referral	1	0
2019-11-05	oauth.yandex.ru	referral	10	6
2019-11-05	rdocumentation.org	referral	1	1
2019-11-05	target.my.com	referral	1	0
2019-11-05	yandex	organic	2	2
2019-11-06	(direct)	(none)	8	7
2019-11-06	away.vk.com	referral	1	1
2019-11-06	facebook.com	referral	3	2
2019-11-06	github.com	referral	2	1
2019-11-06	google	organic	9	8
2019-11-06	habr.com	referral	1	1
2019-11-06	mediaguru.ru	referral	1	1
2019-11-06	netpeak.net	referral	2	2
2019-11-06	oauth.yandex.ru	referral	16	8
2019-11-06	osipenkov.ru	referral	2	0
2019-11-06	passport.yandex.ru	referral	3	3
2019-11-06	yandex	organic	2	2
2019-11-07	(direct)	(none)	4	3
2019-11-07	away.vk.com	referral	1	1
2019-11-07	facebook.com	referral	2	0
2019-11-07	github.com	referral	3	2
2019-11-07	google	organic	11	9
2019-11-07	habr.com	referral	1	1
2019-11-07	oauth.yandex.ru	referral	9	6
2019-11-07	osipenkov.ru	referral	1	1
2019-11-07	passport.yandex.ru	referral	2	2
2019-11-07	ppc.world	referral	1	0
2019-11-07	r-for-marketing.netpeak.net	referral	1	0
2019-11-07	rdocumentation.org	referral	1	1
2019-11-07	yandex	organic	3	1
2019-11-07	yandex.ru	referral	1	1
2019-11-08	(direct)	(none)	5	5
2019-11-08	35.225.17.14	referral	4	2
2019-11-08	facebook.com	referral	6	4
2019-11-08	github.com	referral	7	3
2019-11-08	google	organic	8	6
2019-11-08	netpeak.net	referral	1	1
2019-11-08	oauth.vk.com	referral	1	1
2019-11-08	oauth.yandex.ru	referral	6	5
2019-11-08	passport.yandex.ru	referral	1	1
2019-11-08	yandex	organic	1	1
2019-11-09	(direct)	(none)	1	1
2019-11-09	bing	organic	1	1
2019-11-09	github.com	referral	1	0
2019-11-09	google	organic	2	1
2019-11-09	habr.com	referral	1	1
2019-11-09	oauth.yandex.ru	referral	2	1
2019-11-09	rdocumentation.org	referral	2	2
2019-11-10	(direct)	(none)	3	3
2019-11-10	away.vk.com	referral	1	0
2019-11-10	facebook.com	referral	2	1
2019-11-10	github.com	referral	11	8
2019-11-10	google	organic	4	3
2019-11-10	m.vk.com	referral	1	1
2019-11-10	netpeak.net	referral	1	1
2019-11-10	oauth.vk.com	referral	2	0
2019-11-10	passport.yandex.ru	referral	2	1
2019-11-10	rdocumentation.org	referral	2	1
2019-11-10	yandex.ru	referral	1	1
2019-11-11	(direct)	(none)	4	3
2019-11-11	35.211.131.244	referral	4	2
2019-11-11	35.226.199.51	referral	1	1
2019-11-11	ahrefs.com	referral	1	1
2019-11-11	cran.r-project.org	referral	2	1
2019-11-11	facebook.com	referral	3	2
2019-11-11	github.com	referral	8	8
2019-11-11	google	organic	7	6
2019-11-11	oauth.yandex.ru	referral	13	10
2019-11-11	target.my.com	referral	3	2
2019-11-11	yandex.ru	referral	2	2
2019-11-12	(direct)	(none)	3	2
2019-11-12	alexeyseleznev.wordpress.com	referral	2	0
2019-11-12	facebook.com	referral	4	1
2019-11-12	github.com	referral	16	13
2019-11-12	google	organic	12	10
2019-11-12	netpeak.net	referral	1	0
2019-11-12	oauth.yandex.ru	referral	6	3
2019-11-12	passport.yandex.ru	referral	1	1
2019-11-12	target.my.com	referral	1	1
2019-11-12	yandex	organic	1	1
2019-11-12	yandex.ru	referral	3	3
2019-11-13	(direct)	(none)	4	4
2019-11-13	146.148.77.208	referral	2	1
2019-11-13	alexeyseleznev.wordpress.com	referral	1	1
2019-11-13	github.com	referral	5	2
2019-11-13	google	organic	13	9
2019-11-13	netpeak.net	referral	3	2
2019-11-13	oauth.yandex.ru	referral	12	6
2019-11-13	passport.yandex.ru	referral	2	2
2019-11-13	ppc.world	referral	1	1
2019-11-13	rdrr.io	referral	1	1
2019-11-14	(direct)	(none)	1	1
2019-11-14	alexeyseleznev.wordpress.com	referral	2	1
2019-11-14	away.vk.com	referral	2	2
2019-11-14	facebook.com	referral	1	1
2019-11-14	github.com	referral	6	4
2019-11-14	google	organic	10	7
2019-11-14	habr.com	referral	2	1
2019-11-14	oauth.yandex.ru	referral	7	3
2019-11-14	passport.yandex.ru	referral	1	1
2019-11-14	rdocumentation.org	referral	1	1
2019-11-14	rdrr.io	referral	1	1
2019-11-14	seostayer.ru	referral	1	1
2019-11-14	yandex.ru	referral	7	6
2019-11-15	(direct)	(none)	2	1
2019-11-15	alexeyseleznev.wordpress.com	referral	1	1
2019-11-15	github.com	referral	3	3
2019-11-15	google	organic	16	13
2019-11-15	oauth.yandex.ru	referral	13	4
2019-11-15	passport.yandex.ru	referral	1	1
2019-11-15	projects.aks.od.ua	referral	1	0
2019-11-15	yandex	organic	2	2
2019-11-15	yandex.ru	referral	1	1
2019-11-16	dbc-850404ba-29e5.cloud.databricks.com	referral	1	1
2019-11-16	github.com	referral	3	1
2019-11-16	google	organic	3	3
2019-11-16	oauth.yandex.ru	referral	4	2
2019-11-16	yandex	organic	1	1
2019-11-16	yandex.ru	referral	1	1
2019-11-17	(direct)	(none)	1	1
2019-11-17	away.vk.com	referral	1	1
2019-11-17	github.com	referral	3	1
2019-11-17	google	organic	4	3
2019-11-17	oauth.yandex.ru	referral	8	4
2019-11-17	passport.yandex.ru	referral	1	1
2019-11-18	(direct)	(none)	4	2
2019-11-18	35.189.69.98	referral	1	1
2019-11-18	facebook.com	referral	1	1
2019-11-18	github.com	referral	6	5
2019-11-18	google	organic	11	6
2019-11-18	oauth.vk.com	referral	3	2
2019-11-18	oauth.yandex.ru	referral	18	12
2019-11-18	passport.yandex.ru	referral	1	1
2019-11-18	yandex.ru	referral	1	1
2019-11-19	(direct)	(none)	6	6
2019-11-19	facebook.com	referral	2	1
2019-11-19	github.com	referral	5	5
2019-11-19	google	organic	11	10
2019-11-19	habr.com	referral	1	1
